country,continent,idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn
Iraq,Asia,IRQ,Saddam Hussein,IRQ_1979_1,823e3aa0-1e42-11e4-b4cd-db5882bf8def,1979-07-16,2003-04-09,Regular,Foreign,M,1937
Iraq,Asia,IRQ,Paul Bremer,IRQ_2003_3,823e6b74-1e42-11e4-b4cd-db5882bf8def,2003-05-12,2004-06-28,Foreign Imposition,Regular,M,1941
Iraq,Asia,IRQ,Iyad Allawi,IRQ_2004_1,823e6b75-1e42-11e4-b4cd-db5882bf8def,2004-06-28,2005-05-03,Regular,Regular,M,1945
Iraq,Asia,IRQ,al-Jaafari,IRQ_2005_1,82545b2b-1e42-11e4-b4cd-db5882bf8def,2005-05-03,2006-05-20,Regular,Regular,M,1947
Iraq,Asia,IRQ,al-Maliki,IRQ_2006_1,82545b2c-1e42-11e4-b4cd-db5882bf8def,2006-05-20,2014-09-08,Regular,Regular,M,1950
Iraq,Asia,IRQ,al-Abadi,IRQ_2014_1,14a011a0-aae0-11e4-b3bc-29f2fa19767e,2014-09-08,2018-10-25,Regular,Regular,M,1952
Iraq,Asia,IRQ,Abdul-Mahdi,IRQ_2018_1,.,2018-10-25,2020-05-06,Regular,Irregular,M,1942
Iraq,Asia,IRQ,Mustafa Al-Kadhimi,IRQ_2020_1,.,2020-05-06,2022-10-27,Regular,Regular,M,1967
e,Asia,IRQ,Mohammed Shia' Al Sudani,IRQ_2022_1,.,2022-10-27,2023-12-31,Regular,Still in Office,M,1970
Israel,Asia,ISR,Shamir,ISR_1986_1,82411721-1e42-11e4-b4cd-db5882bf8def,1986-10-20,1992-07-12,Regular,Regular,M,1914
Israel,Asia,ISR,Rabin,ISR_1992_1,8240e642-1e42-11e4-b4cd-db5882bf8def,1992-07-12,1995-11-04,Regular,Irregular,M,1922
Israel,Asia,ISR,Netanyahu,ISR_1996_1,82411722-1e42-11e4-b4cd-db5882bf8def,1996-06-18,1999-07-06,Regular,Regular,M,1949
Israel,Asia,ISR,Barak,ISR_1999_1,824147f4-1e42-11e4-b4cd-db5882bf8def,1999-07-06,2001-03-07,Regular,Regular,M,1942
Israel,Asia,ISR,Ariel Sharon,ISR_2001_1,824147f5-1e42-11e4-b4cd-db5882bf8def,2001-03-08,2006-01-04,Regular,Retired Due to Ill Health,M,1928
Israel,Asia,ISR,Olmert,ISR_2006_1,82548bfe-1e42-11e4-b4cd-db5882bf8def,2006-01-04,2009-03-31,Regular,Regular,M,1928
Israel,Asia,ISR,Netanyahu,ISR_2009_1,82411722-1e42-11e4-b4cd-db5882bf8def,2009-03-31,2021-06-13,Regular,Regular,M,1949
Israel,Asia,ISR,Yair Lapid,ISR_2021_1,.,2021-06-13,2022-06-30,Regular,Regular,M,1963
Israel,Asia,ISR,Netanyahu,ISR_2022_2,.,2022-12-29,2023-12-31,Regular,Still in Office,M,1949
Italy,Europe,ITA,Andreotti,ITA_1989_1,82196a11-1e42-11e4-b4cd-db5882bf8def,1989-07-23,1992-06-28,Regular,Regular,M,1919
Italy,Europe,ITA,Amato,ITA_1992_1,82199ae6-1e42-11e4-b4cd-db5882bf8def,1992-06-28,1993-04-29,Regular,Regular,M,1938
Italy,Europe,ITA,Ciampi,ITA_1993_1,82199ae7-1e42-11e4-b4cd-db5882bf8def,1993-04-29,1994-05-11,Regular,Regular,M,1920
Italy,Europe,ITA,Dini,ITA_1995_1,8219cbb7-1e42-11e4-b4cd-db5882bf8def,1995-01-17,1996-05-18,Regular,Regular,M,1931
Italy,Europe,ITA,Prodi,ITA_1996_1,35aed4f8-3bbd-11e5-afeb-eb6f07f9fec7,1996-05-18,1998-10-21,Regular,Regular,M,1939
Italy,Europe,ITA,D'Alema,ITA_1998_1,8219cbb9-1e42-11e4-b4cd-db5882bf8def,1998-10-21,2000-04-26,Regular,Regular,M,1949
Italy,Europe,ITA,Amato,ITA_2000_1,82199ae6-1e42-11e4-b4cd-db5882bf8def,2000-04-26,2001-06-11,Regular,Regular,M,1938
Italy,Europe,ITA,Berlusconi,ITA_2001_1,8219cbb6-1e42-11e4-b4cd-db5882bf8def,2001-06-11,2006-05-17,Regular,Regular,M,1936
Italy,Europe,ITA,Prodi,ITA_2006_1,35aed4f8-3bbd-11e5-afeb-eb6f07f9fec7,2006-05-17,2008-05-08,Regular,Regular,M,1939
Italy,Europe,ITA,Berlusconi,ITA_2008_1,8219cbb6-1e42-11e4-b4cd-db5882bf8def,2008-05-08,2011-11-16,Regular,Regular,M,1936
Italy,Europe,ITA,Monti,ITA_2011_1,8251e055-1e42-11e4-b4cd-db5882bf8def,2011-11-16,2013-04-28,Regular,Regular,M,1943
Italy,Europe,ITA,Letta,ITA_2013_1,2b37a458-3481-11e4-8dba-bbcd9ed46413,2013-04-28,2014-02-22,Regular,Regular,M,1966
Italy,Europe,ITA,Renzi,ITA_2014_1,149e63e6-aae0-11e4-b3bc-29f2fa19767e,2014-02-22,2016-12-12,Regular,Regular,M,1975
Italy,Europe,ITA,Gentiloni,ITA_2016_1,.,2016-12-12,2018-06-01,Regular,Regular,M,1954
Italy,Europe,ITA,Conte,ITA_2018_1,.,2018-06-01,2021-02-13,Regular,Regular,M,1964
Italy,Europe,ITA,Draghi,ITA_2021_1,.,2021-02-13,2022-10-22,Regular,Regular,M,1947
Italy,Europe,ITA,Giorgia Meloni,ITA_2022_1,.,2022-10-22,2023-12-31,Regular,Still in Office,F,1977
Jamaica,Americas,JAM,Manley,JAM_1989_1,81e30cec-1e42-11e4-b4cd-db5882bf8def,1989-02-10,1992-03-30,Regular,Retired Due to Ill Health,M,1924
Jamaica,Americas,JAM,Patterson,JAM_1992_1,81e33dbd-1e42-11e4-b4cd-db5882bf8def,1992-03-30,2006-03-30,Regular,Regular,M,1935
Jamaica,Americas,JAM,Simpson-Miller,JAM_2006_1,2b37a44f-3481-11e4-8dba-bbcd9ed46413,2006-03-30,2007-09-11,Regular,Regular,F,1945
Jamaica,Americas,JAM,Golding,JAM_2007_1,825028d2-1e42-11e4-b4cd-db5882bf8def,2007-09-11,2011-10-23,Regular,Regular,M,1947
Jamaica,Americas,JAM,Simpson-Miller,JAM_2012_1,2b37a44f-3481-11e4-8dba-bbcd9ed46413,2012-01-05,2016-03-03,Regular,Regular,F,1945
Jamaica,Americas,JAM,Andrew Holness,JAM_2016_1,.,2016-03-03,2023-12-31,Regular,Still in Office,M,1972
Jordan,Asia,JOR,Hussein Ibn Talal El-Hashim,JOR_1952_1,824053c8-1e42-11e4-b4cd-db5882bf8def,1952-08-11,1999-02-07,Regular,Natural Death,M,1935
